Trap	Habitat	Transect	Strata	Season	Abundance	Richness	Amiga_arnaca_arnaca	Amphidecta_calliomma	Amphidecta_pignerator_pignerator	Archaeoprepona_demophon_demophon	Archaeoprepona_demophoon	Baeotus_aeilus	Bia_actorion	Caeruleuptychia_sp	Catoblepia_berecynthia	Catoblepia_soranus	Catoblepia_xanthicles	Catonephele_acontius	Catonephele_antinoe	Catonephele_numilia	Chloreuptychia_agatha	Chloreuptychia_rectilinea	Chloreuptychia_herseis	Chloreuptychia_tolumnia	Cissia_myncea	Cithaerias_aurora	Colobura_dirce	Erichthodes_antonina	Eunica_eurota	Eunica_orphise	Hamadryas_arinome	Hamadryas_feronia	Hamadryas_laodamia	Hermeuptychia_maimoune	Historis_acheronta	Historis_odius	Magneuptychia_aff_ocnus	Magneuptychia_fugitiva	Magneuptychia_ocnus	Memphis_laertes	Memphis_leonida	Memphis_phantes_vicina	Memphis_polycarmes	Memphis_moruus_moruus	Morpho_achilles	Nessaea_obrinus	Opsiphanes_invirae	Opsiphanes_quiteria_quiteria	Pareuptychia_summandosa	Posttaygetis_penela	Prepona_dexamenus	Prepona_laertes_demodice	Pseudodebis_marpessa	Pseudodebis_valentina	Siderone_galanthis_galanthis	Taygetis_cleopatra	Taygetis_mermeria	Taygetis_rufomarginata	Taygetis_thamyra	Taygetis_virgilia	Temenis_laothoe	Tigridia_acesta	Zaretis_isidora	Zaretis_itys
TV3A9S	Varzea	TV3	Understory	Dry	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TV3A9D	Varzea	TV3	Canopy	Dry	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TV3A10S	Varzea	TV3	Understory	Dry	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
TV3A10D	Varzea	TV3	Canopy	Dry	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TF1A1S	Terra_Firme	TF1	Understory	Dry	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
TF1A1D	Terra_Firme	TF1	Canopy	Dry	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TF1A2S	Terra_Firme	TF1	Understory	Dry	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TF1A2D	Terra_Firme	TF1	Canopy	Dry	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TF1A3S	Terra_Firme	TF1	Understory	Dry	2	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TF1A3D	Terra_Firme	TF1	Canopy	Dry	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TF1A4S	Terra_Firme	TF1	Understory	Dry	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TF1A4D	Terra_Firme	TF1	Canopy	Dry	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
TF1A5S	Terra_Firme	TF1	Understory	Dry	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TF1A5D	Terra_Firme	TF1	Canopy	Dry	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TF1A6S	Terra_Firme	TF1	Understory	Dry	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
